"lb_name";"lb_code";"ward_code";"ward_name";"ward_area_hectare";"green_area_hectare";"blue_area_hectare";"green_blue_area_hectare";"percent_green";"percent_blue";"percent_green_blue"
"Croydon";"E09000008";"E05011473";"Norbury Park";225.926;121.777;0.287772;122.065;53.9014;0.127374;54.0287
"Croydon";"E09000008";"E05011474";"Old Coulsdon";693.502;563.604;0.190015;563.794;81.2693;0.0273994;81.2967
"Croydon";"E09000008";"E05011475";"Park Hill & Whitgift";198.756;121.706;0.116455;121.822;61.2336;0.0585917;61.2922
"Croydon";"E09000008";"E05011476";"Purley & Woodcote";509.713;287.969;0.550878;288.52;56.4963;0.108076;56.6043
"Croydon";"E09000008";"E05011477";"Purley Oaks & Riddlesdown";245.126;119.71;0.380413;120.09;48.8361;0.155191;48.9913
"Croydon";"E09000008";"E05011478";"Sanderstead";753.708;543.138;0.258624;543.397;72.0621;0.0343136;72.0965
"Croydon";"E09000008";"E05011479";"Selhurst";130.739;37.9469;0.0;37.9469;29.0249;0.0;29.0249
"Croydon";"E09000008";"E05011480";"Selsdon & Addington Village";521.087;369.023;0.273173;369.297;70.818;0.0524237;70.8704
"Croydon";"E09000008";"E05011481";"Selsdon Vale & Forestdale";490.954;378.582;0.0808877;378.663;77.1115;0.0164756;77.1279
"Croydon";"E09000008";"E05011482";"Shirley North";310.902;140.864;0.0889859;140.953;45.3082;0.0286218;45.3368
"Croydon";"E09000008";"E05011483";"Shirly South";455.058;308.091;0.902583;308.993;67.7036;0.198345;67.9019
"Croydon";"E09000008";"E05011484";"South Croydon";394.407;228.429;0.189781;228.619;57.9171;0.0481181;57.9652
"Croydon";"E09000008";"E05011485";"South Norwood";214.118;68.4575;2.86225;71.3198;31.9719;1.33677;33.3086
"Croydon";"E09000008";"E05011486";"Thornton Heath";172.422;57.9868;0.00354293;57.9904;33.6307;0.0020548;33.6328
"Croydon";"E09000008";"E05011487";"Waddon";391.981;157.885;1.57247;159.457;40.2787;0.401161;40.6799
"Croydon";"E09000008";"E05011488";"West Thornton";197.117;64.7418;0.0372083;64.779;32.8443;0.0188762;32.8632
"Croydon";"E09000008";"E05011489";"Woodside";215.022;90.4978;2.72599;93.2237;42.0877;1.26777;43.3554
